PT312,PT401,PT408,PT403,PT501,PT408_diff,PT403_diff,FT305,FT104,FT407,LI405,FT406,FT407_density,FT406_density,FT104_density,FT407_temp,FT406_temp,FT104_temp,LI504,VC501,VC302,VC101,PO1,PT417
0.14863940479999999,0.1439118981,0.1008741021,0.10300829410000001,0.1003373027,0.0430523813,0.3038477898,0.021333024766666667,3.510936022,-0.217369303,0.856388807,0.349102587,101.0016022,303.5555115,998.0869141,23.11520004,22.84079933,22.39575005,13.21856022,21.04173088,45.05503082,56.24332047,2.382499933,0.0119893499
0.1487197995,0.1439507008,0.10097539419999998,0.1031272054,0.10040099620000001,0.0429078609,0.292403698,0.021302229563888886,3.506582975,-0.247291297,0.858734906,0.373201013,101.0016022,305.9525146,998.0866699,23.11500931,22.84074974,22.39226913,13.21848011,21.0569191,45.05456161,56.25658035,2.305000067,0.0119893998
0.1486911058,0.1438645959,0.10109460349999999,0.1032461047,0.10046470169999999,0.042789271499999997,0.31529190539999996,0.021306864419444446,3.500680923,-0.247291297,0.861080885,0.370615005,101.0016022,306.5383911,998.0864868,23.11481094,22.84070015,22.38878059,13.21839046,21.07642937,45.05408096,56.28158188,2.1875,0.0119894497
0.1486029983,0.14373689890000002,0.1011512041,0.1033650041,0.10052939649999999,0.0426706791,0.32816650869999997,0.02128103256111111,3.49477911,-0.247291297,0.863426983,0.274084687,106.4269028,307.1242981,998.0864258,23.11461067,22.84065056,22.38529015,13.21831036,21.09737968,45.05361176,56.30659103,2.424999952,0.0119895101
0.148514998,0.143751502,0.1011870027,0.1034839034,0.10059449670000001,0.042552089700000004,0.3038477898,0.02121315638333333,3.488877058,-0.247291297,0.865773082,0.238710001,108.2352982,295.6524963,998.0861816,23.11441994,22.84059906,22.3817997,13.21823025,21.11833,45.0531311,56.33160019,2.397500038,0.01198956
0.1485358,0.1438133955,0.1013211012,0.1036028028,0.10065950159999999,0.042433500299999996,0.314576602,0.02118765513055556,3.482975006,-0.175407007,0.868119121,0.30780679,108.2352982,294.1918945,998.0859985,23.1142292,22.84056091,22.37830925,13.21813965,21.13928032,45.05265045,56.35660934,2.150000095,0.0119896203
0.14859280589999999,0.1438753009,0.10129129889999999,0.1036399961,0.1007246017,0.0425354898,0.29741048810000004,0.021160833569444443,3.477072001,0.3835738,0.870465219,0.339076102,108.2352982,301.079895,998.0858154,23.11403084,22.84050941,22.37482071,13.21805954,21.16024017,45.05218124,56.38161087,2.319999933,0.0119896702
0.1487746,0.1442088008,0.10119589570000001,0.103650105,0.1007897019,0.0427110106,0.2659392118,0.021137652927777778,3.479907036,-0.01387602,0.870617211,0.314743489,108.2352982,300.5163879,998.0856934,23.11383057,22.84045982,22.3713398,13.21798038,21.18119049,45.05170059,56.40662003,2.444999933,0.0119897299
0.14926530119999998,0.14463269709999999,0.1012704968,0.10366020199999999,0.1008546948,0.0428865314,0.20442719459999997,0.02111778259166667,3.485652924,-0.236562401,0.870037913,0.362706095,112.8841019,299.6524963,998.0855103,23.11363983,22.84041023,22.36784935,13.21788979,21.20214081,45.05123138,56.43162918,2.257499933,0.0119897798
0.1496469021,0.1450567007,0.1014016032,0.10367020369999999,0.1008669019,0.043247509,0.2852510929,0.02108052995555556,3.49139905,-0.019002071,0.869458497,0.326446593,114.4337006,307.351593,998.0853271,23.1134491,22.84036064,22.36436081,13.21780968,21.22308922,45.05075073,56.42203903,2.30250001,0.0119898401
0.1499624968,0.1453183055,0.1014523029,0.1036803007,0.1008615017,0.0436703086,0.30670878890000003,0.021037481097222224,3.497144938,-0.170519397,0.86887908,0.344862908,114.4337006,302.5704041,998.085083,23.11325073,22.84030914,22.36087036,13.21772003,21.24403954,45.05028152,56.40092087,2.130000114,0.01198989
0.1501863003,0.1455258012,0.10147609710000001,0.10369039769999999,0.1010499954,0.0438617289,0.2914499998,0.021005859375,3.502892017,-0.246695295,0.869957387,0.257877588,114.4337006,290.0965881,998.085022,23.11305046,22.84026909,22.35737991,13.21763992,21.26498985,45.04980087,56.37979889,2.375,0.011989949599999999
