0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0.121696603,0.117148805,0.099956143,0.102703095,,0.017104989,0.305993605,0.02100089,0.501885414,-0.247018993,0.825193584,0.061889172,19.95718002,976.5662842,998.8394165,18.94311905,18.97462082,17.83662033,34.54664993,20.72456932,43.13011932,28.00683975,2.059999943,0.014644229
0.1217484,0.117208099,0.099985951,0.102741802,,0.01719811,0.310285091,0.021243947,0.501900375,-0.247019604,0.826233089,0.063428193,20.10631943,976.5167847,998.8389282,18.93511963,18.97090912,17.91501045,34.53844833,20.71718025,43.00279999,28.00659943,2.029999971,0.014644261
0.121804798,0.117187202,0.100093198,0.102780604,,0.01719113,0.329596996,0.021332696,0.501915395,-0.247020096,0.827272713,0.06077918,20.10631943,976.4672852,998.8383179,18.92712021,18.96719933,17.91501045,34.53025055,20.70980072,42.87548828,28.00634956,2.105000019,0.014644291
0.121861303,0.117257202,0.100051498,0.1028193,,0.01718415,0.288112211,0.021329384,0.501930416,-0.247020707,0.835345626,0.05394214,20.10631943,976.4177856,998.8378296,18.91912079,18.96348953,17.91501045,34.52204132,20.70241928,42.80067062,28.0060997,2.049999952,0.01464432
0.121917701,0.117395401,0.100057495,0.102798605,,0.0172415,0.282390094,0.021214148,0.501945376,-0.247021198,0.855730772,0.051825412,32.79841995,976.3682861,998.8372192,18.91111946,18.95977974,17.91814995,34.51383972,20.69503021,42.77833939,28.00585938,1.934999943,0.014644361
0.121746695,0.117165804,0.100260198,0.102718496,,0.01721137,0.351054597,0.020892277,0.501960516,-0.247021794,0.878447592,0.054428998,45.49052811,976.3187256,998.8366699,18.90312004,18.95606995,17.9244194,34.50563049,20.68765068,42.83522034,28.00560951,1.965000033,0.01464439
0.121810901,0.117120802,0.100200605,0.102806795,,0.0170294,0.302417302,0.020603523,0.501975477,-0.247022301,0.898217618,0.055697169,45.49052811,976.2692261,998.8361206,18.89512062,18.95235062,17.93069077,34.49742889,20.6802597,42.97129059,28.00535965,2.174999952,0.01464442
0.122227395,0.117525697,0.099878663,0.1028391,,0.01729774,0.250918889,0.020500206,0.501990497,-0.247022897,0.91542691,0.055629931,45.49052811,976.2197266,998.8355713,18.88711929,18.94864082,17.93696022,34.48923111,20.67288017,43.10736084,28.00511932,2.150000095,0.01464445
0.122676504,0.118053198,0.09968195,0.102646804,,0.01788411,0.266654491,0.020467752,0.502005517,-0.247023404,0.922908604,0.05556269,45.49052811,976.1702271,998.835083,18.87911987,18.94492912,17.94322968,34.48102951,20.6654892,43.18375015,28.00486946,2.144999981,0.01464449
0.122862601,0.118299902,0.099723679,0.102454495,,0.01833815,0.2552104,0.020464439,0.502020597,-0.247024,0.917544127,0.055495448,37.23305893,976.1207275,998.8344727,18.87111092,18.94121933,17.85230064,34.47282028,20.65810966,43.20045853,28.0046196,2.325000048,0.01464452
0.122996199,0.118396401,0.099878663,0.102551401,,0.018462969,0.256640911,0.020486959,0.502035618,-0.247024596,0.906500399,0.055428211,28.97558975,976.138916,998.8339844,18.86310959,18.93750954,17.75823975,34.46461868,20.65073013,43.21717072,28.00437927,2.150000095,0.01464455
0.122983503,0.118464303,0.100033605,0.102587295,,0.018452179,0.278098512,0.020604182,0.502050579,-0.247025102,0.896229088,0.04891653,28.97558975,976.2249756,998.833374,18.85511017,18.93379974,17.75823975,34.45640945,20.64333916,43.23387909,28.00412941,2.150000095,0.01464458
0.122829199,0.1183465,0.100188601,0.102517104,,0.01831736,0.311000299,0.020794919,0.502065718,-0.247025698,0.892194986,0.053378042,28.97558975,976.3109741,998.8328857,18.84711075,18.93008995,17.75823975,34.44821167,20.63595963,43.22264862,28.00387955,2.230000019,0.014644609
0.122877097,0.118325102,0.100206494,0.102690899,,0.01813353,0.29097321,0.020930689,0.502080679,-0.247026205,0.90213722,0.051527571,28.97558975,976.3970947,998.8322754,18.83910942,18.92638016,17.75823975,34.44001007,20.62857056,43.18349838,28.00363922,2.184999943,0.01464465
0.123054194,0.118427301,0.100087297,0.102815902,,0.01821831,0.254495096,0.020983009,0.502095699,-0.247026697,0.920591116,0.051209129,30.20816994,976.4830933,998.8317871,18.83111,18.92266083,17.86797905,34.43180084,20.62118912,43.14434052,28.00338936,2.125,0.014644679
0.123189497,0.118519998,0.100123,0.102761102,,0.01830311,0.275952792,0.020990955,0.50211072,-0.247027293,0.929317415,0.05460415,31.44075012,976.5692139,998.8312988,18.82311058,18.91894913,17.97772026,34.42359924,20.61380959,43.10519028,28.00315094,2.00999999,0.014644711
0.122997999,0.118479705,0.100313795,0.102726996,,0.01823893,0.297410488,0.02098036,0.50212568,-0.247027799,0.921284914,0.055333659,31.44075012,976.6552124,998.8306885,18.81510925,18.91523933,17.97772026,34.41540146,20.60642052,43.06604004,28.00289917,2.099999905,0.014644741
0.122919202,0.1184394,0.100325704,0.102844501,,0.01817409,0.318868208,0.020967115,0.50214082,-0.247028396,0.90622139,0.063464351,31.44075012,976.741272,998.8302002,18.80710983,18.91152954,17.97772026,34.40719986,20.59903908,43.0268898,28.00264931,2.285000086,0.01464477
0.122953403,0.118399096,0.100158799,0.102903295,,0.018257549,0.283820701,0.020957841,0.502155781,-0.247028902,0.895047486,0.060113579,31.44075012,976.7730713,998.8297119,18.79911041,18.90781975,17.97772026,34.39899063,20.59165001,43.00997162,28.00241089,2.355000019,0.014644811
0.123135805,0.1185045,0.100150895,0.102903295,,0.01830353,0.2552104,0.020952543,0.50217092,-0.247029498,0.887763321,0.0567628,38.70869064,976.7506714,998.8291016,18.79110909,18.90410995,17.91501045,34.39078903,20.58427048,43.01528931,28.00215912,2.230000019,0.01464484
0.123286295,0.118655396,0.100301802,0.102903295,,0.01831201,0.279529095,0.020944595,0.502185881,-0.247030005,0.880478978,0.053412031,45.97661972,976.7282715,998.8286133,18.78310966,18.90040016,17.85230064,34.3825798,20.57689095,43.02059937,28.00190926,2.154999971,0.01464487
