PT312,PT401,PT408,PT403,PT501,PT408_diff,PT403_diff,FT305,FT104,FT407,LI405,FT406,FT407_density,FT406_density,FT104_density,FT407_temp,FT406_temp,FT104_temp,LI504,VC501,VC302,VC101,PO1,PT417
0.141516697,0.134769201,0.100349498,0.102436101,,0.034622482,0.836718655,0.042076416,3.483895063,1.600718975,0.967476785,0.329590499,80.92455292,242.2720032,997.7971802,22.02737045,21.79467964,21.46007919,18.97200012,27.33345032,88.94831085,56.16334915,2.359999895,0.0104278
0.141334903,0.1345379,0.099854797,0.102541995,,0.03495779,0.682219887,0.042090335,3.484656096,1.035897017,0.979159474,0.354726791,80.92455292,239.8740997,997.7971191,22.02737045,21.79462051,21.46007919,18.97975922,27.28772926,88.95832825,56.1668396,2.059999943,0.01042798
0.141072297,0.134645498,0.099747521,0.102140701,,0.034803879,0.690801191,0.042038667,3.485416889,0.798190117,0.990842223,0.353752106,73.73869324,237.8260956,997.7969971,22.02737045,21.79454994,21.53931999,18.98752022,27.24201012,88.95496368,56.1703186,2.125,0.01042816
0.141134,0.134866202,0.099997902,0.101903498,,0.034644949,0.710470676,0.042021111,3.486177921,1.630282998,0.991824627,0.339823604,71.34339905,241.3740997,997.796875,22.02737045,21.79449081,21.56572914,18.99527931,27.19628906,88.95157623,56.17380142,2.345000029,0.01042834
0.141303802,0.134704197,0.1004866,0.102140904,,0.034378591,0.691874123,0.041976416,3.486938953,1.830199957,0.98924011,0.306527287,71.34339905,244.3860931,997.796814,22.02737045,21.79442024,21.56572914,19.00304031,27.15056992,88.94819641,56.17728043,2.422499895,0.01042852
0.141169596,0.134414697,0.100123,0.102199495,,0.034609941,0.644309521,0.041921777,3.487699986,1.412485003,0.986655593,0.313174903,71.34339905,239.9420929,997.7965698,22.02737045,21.79435921,21.56572914,19.01079941,27.10485077,88.94483185,56.18075943,2.474999905,0.0104287
0.140934205,0.134547401,0.099848849,0.101880801,,0.034539631,0.614983988,0.04188964,3.488461971,0.753724277,0.982662022,0.360566407,71.34339905,235.5166016,997.7965088,22.02737045,21.79429054,21.56572914,19.01371002,27.05912971,88.94145966,56.18424988,2.332499981,0.01042889
0.141107702,0.1345873,0.099705797,0.1017012,,0.034829691,0.594956923,0.041864471,3.488960981,0.934209585,0.976288915,0.393890887,70.71534729,242.1119995,997.7963867,22.02737045,21.79422951,21.41587067,19.01501083,27.01341057,88.93807983,56.18772888,2.422499895,0.01042907
0.1411497,0.134549403,0.09956274,0.101598895,,0.03505851,0.645739985,0.041795612,3.489372969,1.14604795,0.969279289,0.378660798,70.5059967,249.3952026,997.7963257,22.02737045,21.79417038,21.36591911,19.01630974,26.96768951,88.93470764,56.1912117,2.17750001,0.01042925
0.141015804,0.134511399,0.099687898,0.101699305,,0.034831211,0.576360178,0.041664471,3.489784956,1.567579031,0.963052928,0.349745095,70.5059967,250.2671967,997.7962036,22.02737045,21.79409981,21.36591911,19.01759911,26.92197037,88.93134308,56.1946907,2.192500114,0.01042943
